username, created_at, lng, lat, text
TheRealJaimeP, Thu Apr 23 21:18:02 +0000 2020, -118.010579, 34.117285, @Hebrewsaurusre1 @ForAnAngeI @KJisms I will concede that not every arrest goes down the same but I’ve seen enough p… https://t.co/8CTFRwcshM 
srtabulina, Thu Apr 23 21:18:02 +0000 2020, -98.540651, 29.417501, To all those who appreciate my moms masks thank you... she really works all day making them and she puts in so much… https://t.co/wLgds9dgUb 
CryptoEmmaT, Thu Apr 23 21:18:02 +0000 2020, -79.272570, 43.629311, @olthoff 😂😂 
frankndsigns, Thu Apr 23 21:18:02 +0000 2020, -118.411907, 34.020789, @70_CHALATE @nayibbukele Bien dicho vicha haters que se vallan a freir esparagos a otro lado 
Finsup22, Thu Apr 23 21:18:02 +0000 2020, -119.684414, 49.479402, @BaseballQuotes1 @JeffreyCurwen @GrantFrend not as good as James Earl Jones, but pretty darn good. 
SoPoLibrary, Thu Apr 23 21:18:02 +0000 2020, -70.232964, 43.595360, Exactly. 
ihateukenzie, Thu Apr 23 21:18:02 +0000 2020, -97.935192, 29.895606, so good 
DJRoshay, Thu Apr 23 21:18:02 +0000 2020, -118.411907, 34.020789, What a tune manJennifer Lara/ In my time•https://t.co/x0ye1hXoKn• 
SusanTriemert, Thu Apr 23 21:18:02 +0000 2020, -93.105649, 44.941516, @aubreyhirsch @voxdotcom This is brilliant! Ty so much! The stats are staggering. 
11georgeit2, Thu Apr 23 21:18:02 +0000 2020, -93.461096, 44.934935, @TrumpMustGo9 Voodoo Chile slight refrainHendrix 
drgordonpt, Thu Apr 23 21:18:03 +0000 2020, -86.147497, 40.064231, 3 fine choices for #23 on April 23.  Ted Simmons, Kirk Gibson, and Ryne Sandberg. @ Pro X Athlete https://t.co/5Qk5Uj7hfA 
briso_jazzy, Thu Apr 23 21:18:03 +0000 2020, -77.003120, 38.618797, What time the #NFLDRAFT2020 come on..,? What channel.? 
Iamchristrevino, Thu Apr 23 21:18:03 +0000 2020, -95.446486, 29.838495, @Jenniferwalcott @sternshow @danogrady44 I remember when u were on Stern. Nice! 
chrisfoaCEC, Thu Apr 23 21:18:03 +0000 2020, -71.497913, 41.557321, Durmo por algumas horas e acordo com geral esculachando a manoteira da torcida, ou seja, nada de novo sobre o sol! 
_alexialakenya, Thu Apr 23 21:18:03 +0000 2020, -83.173867, 32.678207, perfection 😍🔥 
NorahLulicJones, Thu Apr 23 21:18:03 +0000 2020, -79.420865, 38.003376, @SenWarren  our deepest condolences on the death of your brother. Our prayers &amp; hearts are with you. 
harvardpeterson, Thu Apr 23 21:18:03 +0000 2020, -88.129425, 43.060621, @TheDonStein @ConcordForge @CCPustejovsky @mb_lackey Cred to @mb_lackey for the idea https://t.co/znL2kjEpG1 
gibmardiop, Thu Apr 23 21:18:03 +0000 2020, -83.302512, 30.856085, Ramadan Mubarak to y'all🥰, may Allah accept all our fasts and prayers 🌙❤️ https://t.co/zoCB06ym1q 
sheenabascara, Thu Apr 23 21:18:03 +0000 2020, -118.411907, 34.020789, @dustinsarabia_ Me too. 
amhdoinme, Thu Apr 23 21:18:03 +0000 2020, -77.236969, 38.805115, @st_weightloss Righty 🙋🏾‍♀️ 
kmcooley, Thu Apr 23 21:18:03 +0000 2020, -89.876449, 32.571032, Instructions: Wear with pride! #UMMCStrong https://t.co/YtASEzrCbO 
NosaBSB, Thu Apr 23 21:18:03 +0000 2020, -91.090800, 30.459100, 7K💨💨 https://t.co/tAPJCOWQ3q 
rexwaev, Thu Apr 23 21:18:03 +0000 2020, -79.759591, 43.724971, love u like a bad kid that keeps breaking shit 
